,Proteobacteria,Verrucomicrobiota,Actinobacteriota,Cyanobacteria,Bacteroidota,Firmicutes,Planctomycetota,Patescibacteria,Chloroflexi,Others
Warm-Dry,31.20605819,14.6117618,17.62381175,8.97058185,6.972966537,9.54476558,5.849902876,3.259414453,0.844299758,1.053904298
Warm-Wet,26.34225815,30.18217858,20.42516604,7.607777208,5.083450165,1.848495706,4.785731856,1.020881678,1.299045584,0.606818301
