"","x"
"chisq",2.77481240201729
"df",3
"pvalue",0.427663045641365
"cfi",1
"nfi",0.990395604270825
"ifi",1.00078761523042
"rmsea",0
"aic",96.720180069606
"bic",139.59058587944
