"","type","cov.environment","cov.diversity","cov.ecological_stability","cov.functional_structure","cov.FRI","cov.climate"
"environment","cor.bollen",-2.22044604925031e-16,5.55111512312578e-17,-6.27565404709759e-05,-0.067473501378833,-0.0086549072281461,-1.11022302462516e-16
"diversity","cor.bollen",5.55111512312578e-17,0,0.00688280255254536,-0.00301308862533345,0.000675567450023173,-0.0588256210322106
"ecological_stability","cor.bollen",-6.27565404709759e-05,0.00688280255254536,2.22044604925031e-16,-0.00270004125187141,0.00497282263052423,0.0340682625227009
"functional_structure","cor.bollen",-0.067473501378833,-0.00301308862533345,-0.00270004125187141,-1.11022302462516e-16,-0.000248123027418556,-0.0891284263022234
"FRI","cor.bollen",-0.0086549072281461,0.000675567450023173,0.00497282263052423,-0.000248123027418556,0,-0.0636924069641558
"climate","cor.bollen",-1.11022302462516e-16,-0.0588256210322106,0.0340682625227009,-0.0891284263022234,-0.0636924069641558,0
